abilitet	ability
nere	near
nerelig, nesten	nearly
nerhelst	whenever
nerhet, visinitet	vicinity
nerlig, fast	closely
nerligande	nearby
nerligande	neighboring
nerre	closer
nerseand	short sighted
nerve	nerve
nervös	nervous
nese	nose
neseblöd	nosebleed
nesebor	nostril
nesehorn	rhinoceros
nesesari, nödig	necessary
nesesitet	necessity
nestan	almost
neste	next
nett	net
nett, ordentlig	neat
nettverk	network
neuter	neuter
neutral	neutral
nevö	nephew
nevralgi	neuralgia
nevrose	neurosis
niese	niece
Nigeria	Nigeria
nigeriansk/nigerian	Nigerian
nik/a	nod (n/v)
nikkel	nickel
nikotin	nicotine
nilon	nylon
nio	nine
niote	ninth
nioti	ninety
niotite	ninetieth
nioton	nineteen
niotonte	nineteenth
nip/a, slurp/a	sip (n/v)
nirvana	nirvana
nitrogene	nitrogen
niu	new
Niu Zeland	New Zealand
niubeginner	learner
niuhetar	news
niuhetar	tidings
niuk	whim
niuke	fad
niuna	hum
niure	kidney
nius/a	sneeze (n/v)
nivoar	levels
njuta	enjoy
njutad	enjoyed
njutesom	enjoyable
njuting	enjoyment
noa	reach
noad	reached
nobilitet	nobility
noble	noble
nöd	distress
nodig	gracious
nödig	urgent
nödighet	urgency
noen gang/alltid	ever
nog	enough
nogen	somebody
nogen tidar, nontid	sometimes
nogen, non	someone
noget	somewhat
nogon	some
nogot, not	something
nogso	fairly
nol/era	needle (n/v)
nolle	zero
nominasjon	nomination
nominell	nominal
nominera	nominate
nonne	nun
nonnekloster	nunnery
nonsens	nonsense
nonsted, nonstans	Somewhere
nord/lig	North (n/adj)
nordlig	northerly
nordlig	northern
nordöst	northeast
nordvest	northwest
Norge	Norway
normal	normal
normalt	normally
norsk/norrman	Norwegian
nosjon	notion
nöt	nut
nöt-kneker	nutcracker
nöt-sjell	nutshell
notad	noted
nötad/kledad sej	wore
notar	notes
notarr	notary
notarr publikk	notary public
note/nota	note (n/v)
notebok	notebook
notoriös	notorious
november	November
nu	now
nu uvanlig, oldendags	quaint
nuanse	nuance
nuklear	nuclear
nuklear	nuclear
nukleus	nucleus
nulig	recent
nulig	recently
null	nought
numer	number
numerar	numbers
numerord	numeral
numerös	numerous
nurissa	nourish
nurissande	nourishing
nurissning	nourishment
nusanse	nuisance
nutid/ström	current
nutildags	nowadays
nutrisjon	nutrition
O	Oh
o so videre	et cetera
o, u (euphon.)	and
oase	oasis
obediens	obedience
obedient	obedient
obeja	obey
objeksjon	objection
objekt/a, protestera	object (n/v)
objektar	objects
objektiv	objective
obligasjon	bond
obligatorisk	compulsory
obligatorisk	obligatory
obligera	obligate
oblitera	obliterate
obor	perch (fish)
obor	bass (fish)
obsenitet	obscenity
obsenn	obscene
observasjon	observation
observatorium	observatory
observera	observe
observerad	observed
obsesjon	obsession
obskurr	obscure
obtenbar	obtainable
obtenera, foa	obtain
obviös	obvious
obviös	self-evident
obviöslig	obviously
odinsdag	Wednesday
ödmjuk/a	humble (a/v)
odor	odor
ödsel	lavish (a)
ofenda	offend
ofensiv	offensive
ofensiv status, atakk	offence (stress1)
ofer/ofra	sacrifice (n/v)
ofera	offer
oferad	offered
ofiser	officer
ofiserar	officers
ofisjel	official
ofisjelar	officials
ofta	often
ofte	frequently
öjabluant	eye-pencil
öjabru	eyebrow
öjalok	eyelid
öjar	eyes
öjasjiuge	eye-shadow
öjavippa	eyelash
öjavitne	eyewitness
öje	eye
ok	yoke
öka	increases
öka/ökning	increase (v/n)
ökad	increased
ökande	increasing
okasjon	occasion
okasjonalt	occasionally
ökologi	ecology
ökologisk	ecological
ökonom	economist
ökonomi	economy
ökonomisk	economical
ökonomisk	Economic
öks	axe
okse	ox
oksisjen	oxygen
oktober	October
oktopus	octopus
okuliste	oculist
okupant	occupant
okupasjon	occupation
okupera	occupy
okuperad/upptakad	occupied (v/a)
ol	eel
öl	beer
öl	ale
old, gamal	old
oldare	older
oldendags	old-fashioned
oldrig, gamal	aged
oldtid	antiquity
oliven	olive
olivenolje	olive oil
oljad, glat	oily
olje	oil
om	whether
om	If
om bord	aboard
öm, mör	tender
om/rundt	about
omelett	omelette
omgia	envelope (v)
omgivningar	surroundings (n)
omgoande	prompt
omhiugelig	thorough
ominös	ominous
omisjon	omission
omita	omit
omkring	around
omnipotentt	omnipotent
omringa, insirkla	encircle
omringa, omgoa	surround (v)
omringande	surrounding (a)
omriss/a	outline (n/v)
omsorg/a	care
omtal/a	mention (n/v)
omtalad	mentioned
onanera	masturbate
onanering	masturbation
ond	wicked
ond/onde	evil (adj/n)
ondska	spite
ondskapsful	spiteful
onga	steam
onge	vapor
onger	steamer
oniks	onyx
onkel, farbror, morbror	uncle
önska, desira	desire
önska/önske, lust	desire
önske/önska	wish (n/v)
opal	opal
opera	opera
operasjon	operation
operasjonar	operations
opererande	operating
operette	operetta
opförsel, komportment	behavior
opinion	opinion
opmuntra	encourage
opna/open	open (v/adj)
opnad	opened
opnande	opening
opning	gap
opning	breach
opning	slot
oponent, motstander	opponent
oponera	contest (v)
oposit	opposite
opresjon	oppression
opressa	oppress
opriktig	frank
opriktig	sincere
opsjon	option
opsjonal	optional
optiker	optician
optimisme	optimism
optimist	optimist
optimistisk	optimistic
or	year
orall	oral
orar	years
ord	word
ordar	words
ordbok	Dictionary
order/ordra	order (n/v)
orderar	orders
ordinari	Ordinary
ordning, setling	settlement
ordrad	ordered
ore	oar
öre	ear
öredob	earring
öretrom	ear-drum
öreverk	earache
orfan	orphan
organ, orgel	organ
organisasjon	Organization
organisasjonar	organizations
organisera	organize
organiserad	organized
organisk	organic
orhundra	century
Orient	Orient
orientalsk	oriental
orientera sej	orientate
origin	origin
originall	original
originalt	originally
orka	stand to
orkann	hurricane
orkestre	orchestra
orlig	yearly
orlig/orbok	annual
örn	eagle
ornament	ornament
ornamentall, dekorativ	ornamental
oroa sej/oro, bekiumer	worry (v/n)
orsak/fororsaka	cause (n/v)
orsakar	causes
ortodoks	orthodox
os, selv	ourselves
osk-	thundery
oske/oska	thunder (n/v)
oskveder	thunderstorm
ösrejn	downpour
öss	us
osso	also
ost	cheese
öst	East
österrike	Austria
österrikisk/österriker	Austrian (a/n)
östers	oyster
östlig	eastern
östlig	easterly
osv	etc
otrisj	ostrich
otta	eight
otte	eighth
otti	eighty
otton	eighteen
ottonte	eighteenth
öu	Island
oval	oval
ovenfor	above
ovenfor	overhead
over	over
over	across
over	over
over natt	overnight
overal	overalls
overalt	throughout
overalt	everywhere
overanstrenga sej	overwork (v)
overanstrengning	overwork (n)
overdriva	exaggerate
overdrivad	excessive
overdrivning	excess
overfilt	crowded
overflöd	abundance
overflodig	superfluous
overflödig, redundant	redundant
overfor	facing
overgang	crossing
overgoa	exceed
overgoa	outdo
overgroad	overgrown
overhala	overhaul
overlerer, rektor	headmaster
overleva	survive
overlevning	survival
oversea	overlook
oversetta	translate
oversetter	translator
oversettning	translation
oversikte	oversight
oversjöisk	overseas
oversjuad	overcast
overskrift	headline
overskrift/direksjon	heading
overtrötad	over-tired
overvegt	overweight
overvelda	overwhelm
overvina	overcome
overvina	defeat
ovn	furnace
ovn	oven
ovn, kök-aparatt	stove
pade	toad
pade-stol	toadstool
padle-ore	paddle
paganism	Paganism
pagann	Pagan
pagina	page
pak/a	pack (n/v)
paka	pack (v)
paka, slo in	wrap (v)
pake	package
Pakistan	Pakistan
pakistansk/pakistanier	Pakistani
pakke	parcel
palass	palace
palme/handflate	palm
palpable	palpable
panel	panel
panelverk	panelling
panikk	panic
panloner	pawnbroker
panne	pan
pansetta	pawn (v)
papa	daddy
papegöye	parrot
paperartiklar	stationery
paperhandel	stationer's
paperskorg	wastebasket
papirr	paper
par	couple
par	pair
parade	parade
parafinn	paraffin
paragraf	paragraph
parakejt	parakeet
paralell	parallel
parapliu	umbrella
parat/ferdig	ready
pardonn/a	pardon (n/v)
parfume	perfume
Paris	Paris
parisj	parish
park/parkera	Park (n/v)
parkering	parking
parlament	parliament
parlamentarisk	parliamentary
parsjal/partisk	partial (parts/bias)
parti	parties
parti/fest	Party
parting	parting
partisjon	partition
partlig	partly
partner	partner
partrisj	partridge
pas-ord	password
pasa til	match (v)
pasande	suitable
pasasje	passage
pasasjerbot	liner
pasasjerr	passenger
pasera	pass
pasera	overtake
paserad	passed
paserande	passing
pasiens	patience
pasient	patient
pasifisme	pacifism
pasifist	pacifist
pasjonn	passion
pasjonnad	passionate
pass	passport
passiv	passive
pasturre	pasture
patent	patent
patriot	patriot
patron	cartridge
patrulje/patruljera	patrol (n/v)
pause/pausa	pause (n/v)
pava	pave
pave	pope
paviljonn	pavilion
paviment	pavement
pedal	pedal
pedikiur	pedicure
pejanöt	peanut
pejsann	peasant
peka ut	designate
peka, indikera	point (v)
pekatt	sin
pekuljar	peculiar
pekuljaritet	peculiarity
pelikan	pelican
pels	fur
pelvis	pelvis
pen	good-looking
pen	handsome
penalti	penalty
pendant	pendant
penetrera	penetrate
pengar	money
pengar-eske	till (n)
pengarpung	purse
penge-	monetary
peninsule	peninsula
penisillin	penicillin
penn	pen
pensjon	pension
pensjon	boarding-house
pensjonad	retired
pensjonat, gasthus	guest-house
pensjonera	retire
pensjonerr	boarder
pensjonskola	boarding-school
pepper	pepper
pepperminte	peppermint
per	per
pere	pear
perfeksjon	perfection
perfekt	perfect
performa	perform
performans	performance
perill	peril
perilös	perilous
periode/punkt	period
perisja	perish
perisjable	perishable
perkolator	percolator
perle	bead
perle	pearl
perlemor	mother-of-pearl
permanent	permanent
permisjon	permission
permit/a	permit (n/v)
permitad	permitted
peroksid	peroxide
perpendikular	perpendicular
persekuta	persecute
persepsjon	perception
perseptible, merkbar	perceptible
persille	parsley
persiva	perceive
persjuri	perjury
person	person
personale	personnel
personar	persons
personel	staff
personlig	personal
personlighet	personality
perspektiv	perspective
perspira	perspire
perspirasjon, svete	perspiration
persuadera, overtala	persuade
persuasjon, overtaling	persuasion
perukk	wig
pesa	pant (v)
pesimisme	pessimism
pesimist	pessimist
pesimistisk	pessimistic
pest	plague
petisjon	petition
petisjon	plea (urg. req.)
petroleum	petroleum
pianist	pianist
piano	piano
pijamas	pyjamas
pikar	girls
pike	girl
pike-nam	maiden name
piknik	picnic
pikolo	bellboy
pikturesk	picturesque
pil	arrow
pilarr	pillar
pilegrim	pilgrim
pilegrimasje	pilgrimage
pille	pill
pilott	pilot
pimpel	pimple
pingst	Whitsun
pingvin	penguin
pinne	peg
pinsett	tweezers
pinsvin	porcupine
pinsvin	hedgehog
pionerr	pioneer
piös	pious
pipe, rör	pipe
pir	fellow
piratera	pirate (v)
piratt, sjöröver	pirate (n)
pistol	pistol
piston	piston
piston-stang	piston rod
pitij	pity
piunelitel	tiny
piutt	puddle
plaga	bother
plakatt	poster
plakatt	placard
plan/nivo/nivelera	level
plan/planera	plan
planar	plans
planerad	planned
planering	planning
planet	planet
planetarium	planetarium
planke	plank
plantar	plants
plantasje	plantation
plante, fabrikk/planta	plant (n/v)
plaserad, setad	placed
plass	square (of city)
plaster	plaster
plastikk	plastic
plate	dish
plate	sheet (glass, etc)
plate/plata	plate (n/v)
platform	platform
platinum	platinum
platö	plateau
plats, rom	space
plats, sted/seta	place
platsviser	usher
platsviserinne	usherette
plejeforeldrar	foster-parents
plesant	pleasant
plesjur, behag	pleasure
plikt/tolavgift	duty
plog/plöua	plough (n/v)
plome	plum
plonbok	wallet
plötslig	sudden
plötsligt	Suddenly
plug/-a	plug (n/v)
pluka	pick
pluka, velga/valg	pick (v/n)
plukad	picked
plurall	plural
plus	plus
pneumonie	pneumonia
po	onto
po	on
po	upon
po (ut)selning	on sale
po langs	lengthways
po nogen moda	somehow
poem	poem
poemar	poems
poengsum/fo poeng/markera score (n/v/v)
poesi	poetry
poeter	poet
poetisk	poetic
pofogel	peacock
pojkar	boys
pojke	boy
pokketbok	paperback
pokledningsrum	dressing-room
pöl	pool
polak	Pole
Poland	Poland
polera	polish (v)
polio	polio
poliss	Police
poliss-stasjon	police station
polissman	policeman
politik	policy
politikar	policies
politikk	politics
politikk, polise	policy
politisk	political
politt	polite
polittiker	politician
polsk	Polish
polusjon	pollution
poni	pony
poplin	poplin
popmusikk	pop music
populasjon	population
populerr	popular
populös	populous
porselen	porcelain
porsjon	helping (n)
port	gate
portier	doorman
portner	porter
porto	postage
portofri	postage paid
portrett	portrait
Portugal	Portugal
portugesisk/portugess	Portuguese
posesjon	possession
posessa, eja	possess
posisjon	position
positiv	positive
poske	easter
poskelilje	daffodil
post-	post- (after)
post-eske	mailbox
post/a	post
post/a	mail (n/v)
postand	plea (legal)
poste restante	poste restante
postkasse	letter-box
postkort	postcard
postman	postman
postnumer	zip code
pote, tass	paw
potejtt	potato
potensjel	potential
pott	pot
povre/dorlig	poor
povretet	poverty
praksis	Practice (n)
praktful	gorgeous
praktisera	practise (v)
praktisk	practical
praktiskt	practically
prat/a	chat
pratsam	talkative
precausjon	precaution
predesesör, forganger	predecessor
predikta	predict
prefera	prefer
preferable	preferable
preferans	preference
prefiks	prefix
preka	preach
preken	sermon
preker	preacher
prekerr	precarious
prekestol, talerstol	pulpit
preliminerr	preliminary
prematurr	premature
premie/vurdera	prize (n/v)
premisar, ejendom	premises
premium, forsikringspris	premium
prenumerant	subscriber
prenumerasjon	subscription
prepara	prepare
preparad	prepared
preparasjon	preparation
preposisjon	preposition
pres	pressure
pres-koker	pressure cooker
presang, gave	present (n)
preseda	precede
presenning	tarpaulin
presens	presence
present/presentera	present (a/v)
presenta, akta, performa	stage (v)
presenterad	presented
preserande	pressing
preserva	preserve
preservasjon	preservation
president	president
presiös, kostbar	precious
presipitasjon	precipitation
presiss	precise
presjudiss, fordom	prejudice
preskripsjon	prescription
preskriva	prescribe
press/presera, triuka	press (n/v)
prest	priest
prest	clergyman
prest	parson
prestasjon	achievement
prestasjon	feat
prestegord	parsonage
presterad	achieved
prestesse	priestess
prestisje	prestige
presumable	presumable
presumptuös, overmodig	presumptuous
pretekst	pretext
pretenda	pretend
pretens	pretence
preventa, forhindra	prevent
preventiv	preventive
previöslig	previously
prika	prick (v)
primerlig	primarily
primerr	primary
prins	prince
prinsesse	princess
prinsipal, höd-	principal
prinsipp	principle
prinsippar	PRINCIPLES
prioritet	priority
priörr, forutgoande	prior
pris	Price
pris/tildela	award
prisar	prices
prisfal, deklin, depresjonslump
prisjon	gaol, jail
prisliste	price list
prislös	priceless
prisonerr, fange	prisoner
prisonn, fengsel	prison
privat, personlig	private
privatliv	privacy
privilegium	privilege
probable	probable
probabligt	probably
problemm	problem
problemmar	problems
produksjon	production
produksjon, utgang	output
produkt	product
produktar	products
produsad	produced
produsentt	producer
produsera/naturproduktar	produce (v/n)
profesjon	profession
profesjonell	professional
professor	professor
profett	prophet
profit/era (av)	profit (n/v)
profitable, inbringande	profitable
profunde	profound
programerer	programmer
programm/programera	program (n/v)
programmar	programs
progres/a	progress
progressiv	progressive
prohibisjon	prohibition
prohibita	prohibit
prohibitiv	prohibitive
proklama	proclaim
promenadd/promenera	stroll (n/v)
promenade	promenade (n)
promenera	walk
promenerad	walked
promis/-era	promise (n/v)
promosjon	promotion
promotera	promote
pronomen	pronoun
propagande	propaganda
propela	propel
propell	propeller
propertiar	properties
proporsjon	proportion
proporsjonell	proportional
proposa	propose
proposad	PROPOSED
proposal	proposal
proposisjon	proposition
prosedur	procedure
prosedurar	procedures
prosekuta	prosecute
prosent	percent
prosentdel	percentage
prosesjon	procession
prosess	process
prosessar	processes
prosjekt/-a	project (n/v)
prosjektar	projects (n)
prosperitet	prosperity
prosperös	prosperous
prosperös	well-to-do
prostituad	prostitute
protein	protein
proteksjon	protection
protekta	protect
protektad	protected
protest/-era	protest (n/v)
protestant	Protestant
protestantisk	Protestant
protestantism	Protestantism
pröva	rehearse
pröva	try on
provar	tests
pröve	rehearsal
proverb	proverb
pröverum	fitting room
proviant	provisions
providens	Providence
providera	provide
providera	provides
providerad	provided
providerande/forutsat at	providing
provins	province
provinsiell	provincial
provisionall	provisional
prudent	prudent
pruinn	prune
psikiater	psychiatrist
psikisk	psychic
psikoanalitiker	psychoanalyst
psikolog	psychologist
psikologi	psychology
psikologisk	psychological
publik	audience
publikasjon	publication
publikk	public
publisitet	publicity
pude, notesblok	pad
puder	powder
puder-kvast	powder-puff
pullover	pullover
puls	pulse
pumpe/pumpa	pump (n/v)
pund	pound
punera	punish
punering	punishment
pung	pouch
punkt	dot/point
punkt-lius	spotlight
punkt/spiss	point (n)
punktar	items
punktar	points
punktera/punktering	puncture (v/n)
punktlig	punctual
pupill	pupil (eye)
pur, absolutt/sjerr	sheer (adj/adj)
purpurfarge	purple
puslespill	puzzle (n)
pust	breath
pusta	breathe
pute, hödpute	pillow
putevar	pillow-case
rabarbre	rhubarb
rabatt	rebate
rabatt, avslag	discount
rabies	rabies
rad/roa	row [rou] n/v
radering	etching
radiasjon	radiation
radiator	radiator
radikal	radical
radio	radio
radio	wireless
radius	radius
rafina	refine
rafineri	refinery
rajt/höure (side)	right n,a/a
rajtar	rights
rajtjös	righteous
rak/t	straight (a/adv)
rake/a	rake (n/v)
rakett	rocket
rakket	racquet
rally/samla sej	rally (n/v)
rama	frame
rame	frame
rampe	ramp
ran	robbery
rana	rob
rand	brim
rand	stripe
randig	striped
rang/-a	rank
ransel	satchel
ransid	rancid
ransman	robber
raportar	reports
raportera/raport	report
raporterad	reported
rar, simpatisk	nice
